Date,PL
2017/1/1,22886
2017/1/2,24483
2017/1/3,28131
2017/1/4,28485
2017/1/5,28336
2017/1/6,28002
2017/1/7,25600
2017/1/8,24133
2017/1/9,27670
2017/1/10,27787
2017/1/11,27992
2017/1/12,28186
2017/1/13,27161
2017/1/14,24726
2017/1/15,24156
2017/1/16,27370
2017/1/17,27768
2017/1/18,27768
2017/1/19,27768
2017/1/20,26889
2017/1/21,24905
2017/1/22,24230
2017/1/23,26943
2017/1/24,26779
2017/1/25,25905
2017/1/26,23012
2017/1/27,20214
2017/1/28,19672
2017/1/29,19906
2017/1/30,20118
2017/1/31,21188
2017/2/1,22191
2017/2/2,24722
2017/2/3,25592
2017/2/4,24355
2017/2/5,23414
2017/2/6,26414
2017/2/7,26899
2017/2/8,27120
2017/2/9,27088
2017/2/10,27086
2017/2/11,24557
2017/2/12,23991
2017/2/13,26862
2017/2/14,27193
2017/2/15,27232
2017/2/16,27174
2017/2/17,27241
2017/2/18,26165
2017/2/19,23850
2017/2/20,27718
2017/2/21,27762
2017/2/22,28295
2017/2/23,27527
2017/2/24,27141
2017/2/25,24638
2017/2/26,23343
2017/2/27,24078
2017/2/28,25022
2017/3/1,27261
2017/3/2,27074
2017/3/3,26914
2017/3/4,24746
2017/3/5,23990
2017/3/6,27068
2017/3/7,27568
2017/3/8,27767
2017/3/9,27844
2017/3/10,27892
2017/3/11,25149
2017/3/12,24368
2017/3/13,27892
2017/3/14,27769
2017/3/15,27774
2017/3/16,28098
2017/3/17,27896
2017/3/18,25239
2017/3/19,24394
2017/3/20,28453
2017/3/21,28197
2017/3/22,28095
2017/3/23,28035
2017/3/24,27872
2017/3/25,24624
2017/3/26,23892
2017/3/27,27222
2017/3/28,27766
2017/3/29,28022
2017/3/30,27974
2017/3/31,28040
2017/4/1,24245
2017/4/2,22905
2017/4/3,22797
2017/4/4,23637
2017/4/5,27722
2017/4/6,28161
2017/4/7,28739
2017/4/8,26288
2017/4/9,25592
2017/4/10,30236
2017/4/11,29416
2017/4/12,28004
2017/4/13,28171
2017/4/14,28259
2017/4/15,26171
2017/4/16,25504
2017/4/17,30290
2017/4/18,30723
2017/4/19,31072
2017/4/20,30725
2017/4/21,30988
2017/4/22,24699
2017/4/23,24088
2017/4/24,28349
2017/4/25,29158
2017/4/26,30418
2017/4/27,28348
2017/4/28,27165
2017/4/29,24747
2017/4/30,24004
2017/5/1,25611
2017/5/2,29684
2017/5/3,30931
2017/5/4,31407
2017/5/5,31854
2017/5/6,27573
2017/5/7,25867
2017/5/8,31507
2017/5/9,31569
2017/5/10,32633
2017/5/11,33011
2017/5/12,32806
2017/5/13,27824
2017/5/14,26614
2017/5/15,32336
2017/5/16,30124
2017/5/17,30141
2017/5/18,31320
2017/5/19,31080
2017/5/20,26826
2017/5/21,26159
2017/5/22,32130
2017/5/23,32720
2017/5/24,33035
2017/5/25,31042
2017/5/26,30290
2017/5/27,26347
2017/5/28,25268
2017/5/29,26189
2017/5/30,26643
2017/5/31,32677
2017/6/1,31934
2017/6/2,31745
2017/6/3,30408
2017/6/4,26587
2017/6/5,31834
2017/6/6,33099
2017/6/7,34135
2017/6/8,34011
2017/6/9,33972
2017/6/10,30970
2017/6/11,29156
2017/6/12,34589
2017/6/13,34501
2017/6/14,31925
2017/6/15,30196
2017/6/16,30978
2017/6/17,27264
2017/6/18,26316
