date,isHoliday
2017/1/1,1
2017/1/2,1
2017/1/27,1
2017/1/28,1
2017/1/29,1
2017/1/30,1
2017/1/31,1
2017/2/1,1
2017/2/18,0
2017/2/27,1
2017/2/28,1
2017/4/3,1
2017/4/4,1
2017/5/1,1
2017/5/29,1
2017/5/30,1
2017/6/3,0
2017/9/30,0
2017/10/4,1
2017/10/9,1
2017/10/10,1
2018/1/1,1
2018/2/15,1
2018/2/16,1
2018/2/17,1
2018/2/18,1
2018/2/19,1
2018/2/20,1
2018/2/28,1
2018/3/31,0
2018/4/4,1
2018/4/5,1
2018/4/6,1
2018/5/1,1
2018/6/18,1
2018/9/24,1
2018/10/10,1
2018/12/22,0
2018/12/31,1
2019/1/1,1
2019/1/19,0
2019/2/4,1
2019/2/5,1
2019/2/6,1
2019/2/7,1
2019/2/8,1
2019/2/23,0
2019/2/28,1
2019/3/1,1
2019/4/4,1
2019/4/5,1
2019/5/1,1
2019/6/7,1
2019/9/13,1
2019/10/5,0
2019/10/10,1
2019/10/11,1
